,soc,v
157,13.593073593073592,3.2815
158,13.679653679653681,3.2818
159,13.766233766233766,3.2821031950283808
160,13.852813852813853,3.282404225829663
161,13.939393939393941,3.2831
162,14.025974025974024,3.2834
163,14.112554112554113,3.2837
164,14.1991341991342,3.284303197114233
165,14.285714285714285,3.2846032380081263
166,14.372294372294373,3.2852
167,14.45887445887446,3.2855
168,14.545454545454545,3.2859
169,14.632034632034632,3.2862031885456817
170,14.71861471861472,3.2868
171,14.805194805194807,3.2871
172,14.891774891774892,3.2874
173,14.978354978354979,3.2877035224291036
174,15.064935064935067,3.2880036486294113
175,15.151515151515152,3.2886
176,15.238095238095237,3.2890037961248497
177,15.324675324675324,3.289303880311597
178,15.411255411255409,3.2899
179,15.497835497835496,3.2902040609169965
180,15.584415584415584,3.290504157537378
